#,,Hindi,,Kannada,,Sanskrit
Existing tag,,,,,,
Problem,,,,,,
Accuracy,,,,,,
Grammatical term,,भविष्यत्,,,,लुट्/लृट्
Example,,"कल बारिश होगी |
अगले साल, मैं भारत जाऊँगा |",,ನಾಳೆ ಮಳೆಯಾಗುತ್ತದೆ.,,श्वः वृष्टिः भविष्यति। अग्रिमवर्षे अहम् भारतदेशं गमिष्यामि।
Transliteration of the example sentence (ISO),,"kala bāriśa hōgī |
agalē sāla, maiṁ bhārata jāūm̐gā |",,nāḷe maḷeyāguttade.,,śvaḥ vr̥ṣṭiḥ bhaviṣyati. agrimavarṣē aham bhāratadēśaṁ gamiṣyāmi.
Vibhakti,,[कल] [बारिश-0] [होना-future f.sing] |,,,,[श्वः ] [वृष्टि १.१] [भू -लृट् ३.१]
Word by word Sanskrit translation,,[श्वः ] [वृष्टि १.१] [भू -लृट् ३.१] ,,,,[श्वः ] [वृष्टि १.१] [भू -लृट् ३.१]
Word by word English translation:,,[tomorrow] [rain] [will],,,,[tomorrow] [rain] [will]
Morphological marker:,,"(m. sing)-गा/(m.plu)गे/(f.sing, plu)गी/",,,,Verbal root+लुट्/लृट्
Auxiliary verb: ,,No ,,---,,No
Use of Kridanta: ,,No _ता,,---,,No
Use of Avyaya: ,,No,,---,,No
Gender marking: ,,Yes-Always Gender of the कर्ता is marked on verb,,--- ,,No
Verb semantics:,,---,,---,,---
Syntactic clues:,,,,,,
Retain/Remove,,- - - -,,,,
Comments,,,,,,
